date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Coffee_N0,Coffee_N1,Coffee_N2,Coffee_N3,Coffee_N4,Coffee_N5,Coffee_N6
2023-02-21,O,2023-02-21 04:15:00,2023-02-21 13:30:00,2023-02-21 12:23:00,2023-02-21 12:25:00,36,202303,202305,202307,202309,202312,202403,202405
2023-02-22,O,2023-02-22 04:15:00,2023-02-22 13:30:00,2023-02-22 12:23:00,2023-02-22 12:25:00,35,202303,202305,202307,202309,202312,202403,202405
2023-02-23,O,2023-02-23 04:15:00,2023-02-23 13:30:00,2023-02-23 12:23:00,2023-02-23 12:25:00,34,202303,202305,202307,202309,202312,202403,202405
2023-02-24,O,2023-02-24 04:15:00,2023-02-24 13:30:00,2023-02-24 12:23:00,2023-02-24 12:25:00,33,202303,202305,202307,202309,202312,202403,202405
2023-02-27,O,2023-02-27 04:15:00,2023-02-27 13:30:00,2023-02-27 12:23:00,2023-02-27 12:25:00,32,202303,202305,202307,202309,202312,202403,202405
2023-02-28,O,2023-02-28 04:15:00,2023-02-28 13:30:00,2023-02-28 12:23:00,2023-02-28 12:25:00,31,202303,202305,202307,202309,202312,202403,202405
2023-03-01,O,2023-03-01 04:15:00,2023-03-01 13:30:00,2023-03-01 12:23:00,2023-03-01 12:25:00,30,202303,202305,202307,202309,202312,202403,202405
2023-03-02,O,2023-03-02 04:15:00,2023-03-02 13:30:00,2023-03-02 12:23:00,2023-03-02 12:25:00,29,202303,202305,202307,202309,202312,202403,202405
2023-03-03,O,2023-03-03 04:15:00,2023-03-03 13:30:00,2023-03-03 12:23:00,2023-03-03 12:25:00,28,202303,202305,202307,202309,202312,202403,202405
2023-03-06,O,2023-03-06 04:15:00,2023-03-06 13:30:00,2023-03-06 12:23:00,2023-03-06 12:25:00,27,202303,202305,202307,202309,202312,202403,202405
2023-03-07,O,2023-03-07 04:15:00,2023-03-07 13:30:00,2023-03-07 12:23:00,2023-03-07 12:25:00,26,202303,202305,202307,202309,202312,202403,202405
2023-03-08,O,2023-03-08 04:15:00,2023-03-08 13:30:00,2023-03-08 12:23:00,2023-03-08 12:25:00,25,202303,202305,202307,202309,202312,202403,202405
2023-03-09,O,2023-03-09 04:15:00,2023-03-09 13:30:00,2023-03-09 12:23:00,2023-03-09 12:25:00,24,202303,202305,202307,202309,202312,202403,202405
